CMDLINE /home/diatomstone/.venvs/pytorch/bin/python3 train.py --steps 500 --config small --generate --prompt Alice
MEM 73.417969 1775445711.1670
MEM 75.480469 1775445711.2673
MEM 75.472656 1775445711.3675
MEM 72.503906 1775445711.4680
MEM 76.488281 1775445711.5689
MEM 74.437500 1775445711.6692
MEM 76.500000 1775445711.7695
MEM 74.554688 1775445711.8698
MEM 75.460938 1775445711.9709
MEM 77.507812 1775445712.0712
MEM 75.585938 1775445712.1714
MEM 76.492188 1775445712.2718
MEM 75.445312 1775445712.3729
MEM 75.445312 1775445712.4732
MEM 75.445312 1775445712.5735
MEM 75.445312 1775445712.6738
MEM 74.410156 1775445712.7749
MEM 75.441406 1775445712.8752
MEM 73.308594 1775445712.9754
MEM 74.343750 1775445713.0757
MEM 74.347656 1775445713.1760
MEM 76.000000 1775445713.2769
MEM 73.765625 1775445713.3772
MEM 73.894531 1775445713.4775
MEM 74.402344 1775445713.5778
MEM 75.417969 1775445713.6789
MEM 75.179688 1775445713.7792
MEM 74.289062 1775445713.8794
MEM 73.355469 1775445713.9797
MEM 73.609375 1775445714.0809
MEM 74.117188 1775445714.1812
MEM 75.539062 1775445714.2814
MEM 73.585938 1775445714.3819
MEM 73.714844 1775445714.4829
MEM 73.972656 1775445714.5832
MEM 74.097656 1775445714.6834
MEM 73.968750 1775445714.7837
MEM 75.777344 1775445714.8849
MEM 73.835938 1775445714.9852
MEM 75.757812 1775445715.0855
MEM 74.597656 1775445715.1858
MEM 75.632812 1775445715.2869
MEM 76.664062 1775445715.3872
MEM 75.632812 1775445715.4874
MEM 74.726562 1775445715.5877
MEM 75.871094 1775445715.6889
MEM 76.902344 1775445715.7892
MEM 74.980469 1775445715.8894
MEM 75.871094 1775445715.9897
MEM 75.636719 1775445716.0900
MEM 73.714844 1775445716.1909
MEM 73.843750 1775445716.2912
MEM 74.351562 1775445716.3914
MEM 74.476562 1775445716.4919
MEM 73.968750 1775445716.5922
MEM 73.683594 1775445716.6929
MEM 75.605469 1775445716.7932
MEM 74.714844 1775445716.8935
MEM 75.324219 1775445716.9938
MEM 76.355469 1775445717.0949
MEM 77.335938 1775445717.1952
MEM 75.382812 1775445717.2954
MEM 73.835938 1775445717.3957
MEM 75.238281 1775445717.4969
MEM 76.269531 1775445717.5971
MEM 75.238281 1775445717.6974
MEM 74.347656 1775445717.7977
MEM 75.000000 1775445717.8979
MEM 76.015625 1775445717.9989
MEM 74.957031 1775445718.0992
MEM 72.910156 1775445718.1995
MEM 73.941406 1775445718.2998
MEM 75.863281 1775445718.4009
MEM 74.816406 1775445718.5012
MEM 74.054688 1775445718.6015
MEM 74.179688 1775445718.7017
MEM 75.847656 1775445718.8029
MEM 76.867188 1775445718.9031
MEM 75.867188 1775445719.0034
MEM 75.867188 1775445719.1037
MEM 75.867188 1775445719.2040
MEM 74.960938 1775445719.3049
MEM 75.851562 1775445719.4051
MEM 74.695312 1775445719.5054
MEM 75.726562 1775445719.6056
MEM 74.667969 1775445719.7059
MEM 75.703125 1775445719.8069
MEM 74.589844 1775445719.9072
MEM 73.683594 1775445720.0075
MEM 75.605469 1775445720.1078
MEM 75.625000 1775445720.2089
MEM 75.609375 1775445720.3091
MEM 76.640625 1775445720.4094
MEM 75.609375 1775445720.5097
MEM 75.625000 1775445720.6109
MEM 74.718750 1775445720.7112
MEM 74.718750 1775445720.8115
MEM 75.609375 1775445720.9117
MEM 75.609375 1775445721.0120
MEM 75.609375 1775445721.1129
