net,length_um
net429,51.635µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s2_norm_mag\[8\],51.56µm
_04057_,51.48µm
net347,51.46µm
_06323_,51.4µm
_04062_,51.25µm
_03863_,51.16µm
_01838_,51.14µm
net290,51.08µm
net377,51.08µm
u_interface.u_gelu_fp32.u_synth_top.s1_x\[28\],51.04µm
net526,50.96µm
_06365_,50.92µm
net521,50.92µm
_06349_,50.895µm
net423,50.86µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[17\],50.66µm
net373,50.46µm
net479,50.46µm
_06467_,50.44µm
u_interface.core_data_out\[10\],50.4µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[21\],50.4µm
