net,length_um
_05649_,10.8µm
_00413_,10.785µm
_00446_,10.785µm
_02531_,10.78µm
_03354_,10.78µm
_05884_,10.78µm
u_interface.fifo_data\[5\]\[1\],10.78µm
u_interface.fifo_data\[5\]\[21\],10.78µm
u_interface.u_gelu_fp32.u_synth_top.s3_mult\[45\],10.78µm
net101,10.78µm
_00007_,10.765µm
_00935_,10.765µm
_02114_,10.76µm
_02196_,10.76µm
_02443_,10.76µm
_02609_,10.76µm
_02919_,10.76µm
_03112_,10.76µm
_04844_,10.76µm
_05397_,10.76µm
u_interface.fifo_data\[11\]\[4\],10.76µm
u_interface.fifo_data\[5\]\[0\],10.76µm
_00400_,10.755µm
_00815_,10.755µm
_00365_,10.745µm
_00921_,10.745µm
net1723,10.745µm
_02771_,10.74µm
_02894_,10.74µm
_03235_,10.74µm
_04354_,10.74µm
_04797_,10.74µm
_05705_,10.74µm
_05857_,10.74µm
_05945_,10.74µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_frac\[22\],10.74µm
_00832_,10.735µm
_03636_,10.735µm
_03250_,10.72µm
_04893_,10.72µm
u_interface.fifo_data\[4\]\[2\],10.72µm
_03040_,10.715µm
_02518_,10.71µm
_00467_,10.705µm
_00586_,10.705µm
_01602_,10.7µm
_02425_,10.7µm
_03056_,10.7µm
_03870_,10.7µm
_04728_,10.7µm
_04795_,10.7µm
u_interface.fifo_data\[11\]\[14\],10.7µm
u_interface.u_gelu_fp32.u_synth_top.s3_b\[10\],10.7µm
net1330,10.7µm
_05436_,10.695µm
_01479_,10.685µm
_02959_,10.68µm
_06241_,10.68µm
u_interface.fifo_rd_ptr\[2\],10.68µm
net1415,10.68µm
_02086_,10.66µm
_02254_,10.66µm
_02362_,10.66µm
_02995_,10.66µm
_04470_,10.66µm
_04741_,10.66µm
_04764_,10.66µm
_05033_,10.66µm
_05114_,10.66µm
_05526_,10.66µm
_05952_,10.66µm
s_axil_awaddr[29],10.66µm
u_interface.fifo_data\[1\]\[6\],10.66µm
net1174,10.66µm
u_interface.fifo_data\[6\]\[26\],10.65µm
_02724_,10.64µm
_04932_,10.64µm
_05929_,10.64µm
_06218_,10.64µm
net286,10.64µm
net1045,10.64µm
net1287,10.64µm
_02189_,10.635µm
m_axis_tdata[7],10.63µm
_00970_,10.625µm
_01652_,10.62µm
_03245_,10.62µm
_03404_,10.62µm
_03915_,10.62µm
_04181_,10.62µm
u_interface.fifo_data\[7\]\[13\],10.62µm
u_interface.fifo_data\[8\]\[9\],10.62µm
u_interface.fifo_data\[14\]\[31\],10.61µm
_00522_,10.6µm
_03793_,10.6µm
_04386_,10.6µm
_04455_,10.6µm
_06451_,10.6µm
net981,10.6µm
_02948_,10.58µm
_03169_,10.58µm
_05072_,10.58µm
u_interface.fifo_data\[11\]\[2\],10.58µm
u_interface.fifo_data\[5\]\[24\],10.58µm
u_interface.fifo_data\[5\]\[27\],10.58µm
u_interface.fifo_data\[5\]\[3\],10.58µm
net1689,10.575µm
_00110_,10.565µm
_00388_,10.565µm
_00415_,10.565µm
_01041_,10.565µm
_02869_,10.565µm
_05829_,10.56µm
_06132_,10.56µm
net1400,10.56µm
net1445,10.56µm
net1486,10.56µm
_02954_,10.54µm
_04212_,10.54µm
s_axil_araddr[19],10.54µm
s_axil_araddr[21],10.54µm
s_axis_tdata[1],10.54µm
s_axis_tdata[9],10.54µm
u_interface.fifo_data\[0\]\[18\],10.54µm
u_interface.fifo_data\[10\]\[5\],10.53µm
_02110_,10.525µm
_02973_,10.52µm
_03597_,10.52µm
_04596_,10.52µm
net1421,10.52µm
_02487_,10.5µm
_03152_,10.5µm
_03510_,10.5µm
_03958_,10.5µm
_04611_,10.5µm
_04974_,10.5µm
_05483_,10.5µm
_05880_,10.5µm
_06236_,10.5µm
u_interface.fifo_data\[0\]\[17\],10.5µm
u_interface.fifo_data\[14\]\[14\],10.5µm
u_interface.u_gelu_fp32.s2_data\[24\],10.5µm
_00640_,10.485µm
_03337_,10.48µm
_04151_,10.48µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_norm_mag\[5\],10.48µm
_04637_,10.46µm
_05702_,10.46µm
u_interface.fifo_tlast\[7\],10.46µm
net1707,10.46µm
_00626_,10.445µm
_02451_,10.44µm
_03202_,10.44µm
_03694_,10.44µm
_03994_,10.44µm
net26,10.44µm
net67,10.44µm
net72,10.44µm
net1765,10.44µm
_01962_,10.42µm
_02573_,10.42µm
_03190_,10.42µm
_03585_,10.42µm
_03781_,10.42µm
_03801_,10.42µm
_03810_,10.42µm
_06076_,10.42µm
_00323_,10.405µm
u_interface.fifo_data\[6\]\[8\],10.405µm
_02447_,10.4µm
_03441_,10.4µm
_03596_,10.4µm
_03853_,10.4µm
net941,10.4µm
u_interface.fifo_data\[6\]\[23\],10.39µm
_01091_,10.365µm
_01883_,10.36µm
_03018_,10.36µm
_03180_,10.36µm
_04258_,10.36µm
u_interface.fifo_data\[1\]\[19\],10.36µm
u_interface.fifo_data\[9\]\[26\],10.36µm
u_interface.fifo_data\[9\]\[30\],10.36µm
u_interface.u_gelu_fp32.s1_data\[31\],10.36µm
net1362,10.36µm
_00958_,10.355µm
_00538_,10.345µm
_02728_,10.34µm
_03146_,10.34µm
_04093_,10.34µm
u_interface.fifo_data\[2\]\[12\],10.325µm
_01344_,10.32µm
_02230_,10.32µm
_03554_,10.32µm
_05730_,10.32µm
_06402_,10.32µm
m_axis_tdata[10],10.32µm
m_axis_tlast,10.32µm
m_axis_tuser,10.32µm
s_axil_rvalid,10.32µm
u_interface.u_gelu_fp32.s1_valid,10.32µm
u_interface.u_gelu_fp32.u_synth_top.s3_mult\[51\],10.32µm
net38,10.32µm
net91,10.32µm
net1483,10.32µm
u_interface.fifo_data\[10\]\[12\],10.31µm
_02461_,10.3µm
_02562_,10.3µm
_04022_,10.3µm
_04391_,10.3µm
_05248_,10.3µm
_05620_,10.3µm
_02532_,10.29µm
_00240_,10.285µm
_00284_,10.285µm
_03895_,10.285µm
u_interface.fifo_data\[6\]\[4\],10.285µm
_01417_,10.28µm
_02800_,10.28µm
_03333_,10.28µm
_05182_,10.28µm
_05325_,10.28µm
_05328_,10.28µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s2_shift\[1\],10.28µm
_06033_,10.265µm
_01121_,10.26µm
_01438_,10.26µm
_02648_,10.26µm
_02957_,10.26µm
_03015_,10.26µm
_03448_,10.26µm
_03532_,10.26µm
_04650_,10.26µm
_00698_,10.245µm
_02597_,10.24µm
_03743_,10.24µm
_03941_,10.24µm
_03974_,10.24µm
_04201_,10.24µm
_05162_,10.24µm
_05750_,10.24µm
_05934_,10.24µm
net1489,10.24µm
net1604,10.24µm
_00822_,10.22µm
_03664_,10.22µm
_04729_,10.22µm
_04958_,10.22µm
_00735_,10.215µm
_06314_,10.205µm
u_interface.fifo_data\[2\]\[20\],10.205µm
_01448_,10.2µm
_03335_,10.2µm
_05593_,10.2µm
_05803_,10.2µm
_05870_,10.2µm
_05973_,10.2µm
s_axil_awaddr[26],10.2µm
u_interface.fifo_data\[12\]\[10\],10.2µm
u_interface.fifo_data\[12\]\[1\],10.2µm
u_interface.fifo_data\[15\]\[0\],10.2µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_frac\[26\],10.2µm
net1333,10.2µm
_01311_,10.18µm
_01365_,10.18µm
_01543_,10.18µm
_02715_,10.18µm
_02862_,10.18µm
_03797_,10.18µm
_04125_,10.18µm
_04955_,10.18µm
_05807_,10.18µm
_06257_,10.18µm
net1233,10.18µm
u_interface.fifo_data\[2\]\[27\],10.17µm
net1198,10.165µm
_02633_,10.16µm
_02855_,10.16µm
_03027_,10.16µm
_03416_,10.16µm
_03920_,10.16µm
_05701_,10.16µm
_06060_,10.16µm
_06261_,10.16µm
u_interface.fifo_data\[3\]\[30\],10.16µm
u_interface.fifo_data\[4\]\[13\],10.16µm
u_interface.fifo_data\[5\]\[30\],10.16µm
u_interface.fifo_data\[9\]\[15\],10.16µm
u_interface.u_gelu_fp32.u_synth_top.s3_mult\[33\],10.16µm
_00821_,10.155µm
_01050_,10.145µm
_01515_,10.14µm
_01549_,10.14µm
_02970_,10.14µm
_04704_,10.14µm
_04954_,10.14µm
_05420_,10.14µm
_01318_,10.12µm
_02116_,10.12µm
u_interface.fifo_data\[13\]\[31\],10.12µm
u_interface.fifo_data\[9\]\[28\],10.12µm
net1508,10.12µm
_04505_,10.11µm
_01328_,10.1µm
_03034_,10.1µm
_03590_,10.1µm
_03842_,10.1µm
net1051,10.1µm
net1190,10.1µm
_04145_,10.09µm
_00212_,10.085µm
_02044_,10.08µm
_02194_,10.08µm
_02332_,10.08µm
_04237_,10.08µm
_05090_,10.08µm
_05524_,10.08µm
_05891_,10.08µm
s_axil_araddr[0],10.08µm
s_axil_araddr[10],10.08µm
s_axil_araddr[12],10.08µm
s_axil_araddr[15],10.08µm
s_axil_araddr[17],10.08µm
s_axil_araddr[20],10.08µm
s_axil_araddr[23],10.08µm
s_axil_araddr[25],10.08µm
s_axil_araddr[26],10.08µm
s_axil_araddr[29],10.08µm
s_axil_araddr[4],10.08µm
s_axil_araddr[6],10.08µm
s_axil_awaddr[12],10.08µm
s_axil_awaddr[14],10.08µm
s_axil_awaddr[15],10.08µm
s_axil_awaddr[18],10.08µm
s_axil_awaddr[19],10.08µm
s_axil_awaddr[22],10.08µm
s_axil_awaddr[27],10.08µm
s_axil_awaddr[28],10.08µm
s_axil_awaddr[30],10.08µm
s_axil_awaddr[6],10.08µm
s_axil_awvalid,10.08µm
net845,10.08µm
net847,10.08µm
net857,10.08µm
net862,10.08µm
net836,10.08µm
net838,10.08µm
net840,10.08µm
s_axil_rready,10.08µm
s_axis_tdata[16],10.08µm
s_axis_tdata[4],10.08µm
s_axis_tdata[6],10.08µm
s_axis_tdata[7],10.08µm
u_interface.fifo_data\[5\]\[4\],10.07µm
_00310_,10.065µm
_00515_,10.065µm
net902,10.065µm
_02207_,10.06µm
_02640_,10.06µm
_04213_,10.06µm
_04344_,10.06µm
_04524_,10.06µm
_05067_,10.06µm
_05521_,10.06µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_frac\[20\],10.06µm
_02236_,10.05µm
_02940_,10.04µm
_02987_,10.04µm
_04168_,10.04µm
_04340_,10.04µm
_04658_,10.04µm
_06055_,10.04µm
_06158_,10.04µm
u_interface.fifo_data\[1\]\[17\],10.04µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_mag\[4\],10.04µm
u_interface.u_gelu_fp32.u_synth_top.s3_mult\[49\],10.04µm
_00191_,10.025µm
_00439_,10.025µm
_03808_,10.02µm
_04420_,10.02µm
_01463_,10.01µm
_01330_,10µm
_01361_,10µm
_02035_,10µm
_06159_,10µm
net1202,9.985µm
_02099_,9.96µm
_03258_,9.96µm
_03627_,9.96µm
_03907_,9.96µm
_05297_,9.96µm
_05473_,9.96µm
_05626_,9.96µm
_05727_,9.96µm
_06056_,9.96µm
u_interface.fifo_data\[14\]\[30\],9.96µm
u_interface.fifo_data\[7\]\[19\],9.96µm
u_interface.meta_tuser_pipe\[10\],9.96µm
_01206_,9.94µm
_02390_,9.94µm
_02468_,9.94µm
_03265_,9.94µm
_03571_,9.94µm
_04248_,9.94µm
_04783_,9.94µm
_04826_,9.94µm
_05223_,9.94µm
_05472_,9.94µm
_05905_,9.94µm
_06442_,9.94µm
_06459_,9.94µm
_06477_,9.94µm
u_interface.fifo_data\[3\]\[28\],9.94µm
u_interface.fifo_data\[5\]\[19\],9.94µm
u_interface.fifo_data\[14\]\[0\],9.93µm
_02522_,9.92µm
_03544_,9.92µm
_05455_,9.92µm
_05768_,9.92µm
_05853_,9.92µm
u_interface.fifo_data\[1\]\[31\],9.92µm
_00496_,9.905µm
_02466_,9.9µm
_02746_,9.9µm
_03866_,9.9µm
_05047_,9.9µm
u_interface.fifo_data\[0\]\[22\],9.9µm
u_interface.fifo_data\[13\]\[21\],9.9µm
u_interface.fifo_data\[5\]\[31\],9.9µm
u_interface.fifo_data\[8\]\[27\],9.9µm
_02138_,9.88µm
_04316_,9.88µm
_05465_,9.88µm
_05550_,9.88µm
_05960_,9.88µm
_00577_,9.865µm
_00876_,9.865µm
_00993_,9.865µm
_02439_,9.86µm
_04251_,9.86µm
_05201_,9.86µm
_05300_,9.86µm
m_axis_tdata[16],9.86µm
m_axis_tdata[22],9.86µm
m_axis_tvalid,9.86µm
s_axil_awready,9.86µm
u_interface.core_data_out\[0\],9.86µm
u_interface.fifo_data\[0\]\[12\],9.86µm
u_interface.fifo_data\[13\]\[14\],9.86µm
net74,9.86µm
net1177,9.86µm
net1364,9.86µm
net1773,9.86µm
_00022_,9.845µm
_00493_,9.845µm
_06144_,9.845µm
_01646_,9.84µm
_02368_,9.84µm
_02684_,9.84µm
_02859_,9.84µm
_03198_,9.84µm
_03236_,9.84µm
_04013_,9.84µm
_04077_,9.84µm
_05105_,9.84µm
_05456_,9.84µm
_05704_,9.84µm
u_interface.u_gelu_fp32.u_synth_top.s3_mult\[34\],9.84µm
net1583,9.84µm
_00008_,9.835µm
u_interface.fifo_tlast\[10\],9.825µm
_01749_,9.82µm
_02402_,9.82µm
_03445_,9.82µm
_03917_,9.82µm
_04177_,9.82µm
_05806_,9.82µm
_05879_,9.82µm
_06050_,9.82µm
_06162_,9.82µm
_06348_,9.82µm
u_interface.fifo_data\[12\]\[15\],9.82µm
u_interface.fifo_data\[5\]\[18\],9.82µm
net1052,9.82µm
u_interface.fifo_data\[14\]\[4\],9.81µm
_02642_,9.8µm
_04365_,9.8µm
_00100_,9.795µm
_04191_,9.78µm
_04223_,9.78µm
_04421_,9.78µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_norm_mag\[1\],9.78µm
net95,9.78µm
net1011,9.78µm
_00797_,9.76µm
_01195_,9.76µm
_02290_,9.76µm
_02456_,9.76µm
net1518,9.76µm
_05441_,9.75µm
_00595_,9.745µm
_02004_,9.74µm
_02971_,9.74µm
_03570_,9.74µm
_04031_,9.74µm
_04211_,9.74µm
_05928_,9.74µm
_05964_,9.74µm
u_interface.fifo_data\[13\]\[0\],9.74µm
u_interface.fifo_data\[1\]\[11\],9.74µm
u_interface.fifo_wr_ptr\[2\],9.74µm
_04091_,9.73µm
u_interface.fifo_data\[2\]\[10\],9.73µm
_02163_,9.72µm
_02810_,9.72µm
_03207_,9.72µm
_04199_,9.72µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_frac\[6\],9.72µm
_04161_,9.715µm
_00296_,9.705µm
net895,9.705µm
_03150_,9.7µm
_03508_,9.7µm
_03785_,9.7µm
_04016_,9.7µm
_04590_,9.7µm
_05153_,9.7µm
u_interface.fifo_data\[11\]\[21\],9.7µm
u_interface.fifo_data\[12\]\[31\],9.7µm
u_interface.fifo_data\[7\]\[8\],9.7µm
u_interface.fifo_data\[8\]\[0\],9.7µm
u_interface.fifo_tuser\[4\],9.7µm
u_interface.u_gelu_fp32.u_synth_top.s3_mult\[50\],9.7µm
_00175_,9.68µm
_01579_,9.68µm
_04672_,9.68µm
_01919_,9.66µm
_02055_,9.66µm
_03227_,9.66µm
u_interface.fifo_data\[1\]\[8\],9.66µm
u_interface.fifo_data\[8\]\[1\],9.66µm
net1201,9.66µm
net1377,9.66µm
net1546,9.66µm
net1618,9.66µm
net1651,9.645µm
_01404_,9.64µm
net1459,9.64µm
net898,9.635µm
_01643_,9.625µm
_02634_,9.62µm
_04336_,9.62µm
_04880_,9.62µm
_04959_,9.62µm
_05120_,9.62µm
_00861_,9.615µm
_02612_,9.615µm
_03357_,9.615µm
_03011_,9.61µm
_06482_,9.605µm
_03309_,9.6µm
_03587_,9.6µm
_04055_,9.6µm
_05819_,9.6µm
_05927_,9.6µm
_01138_,9.595µm
_00112_,9.585µm
_00032_,9.58µm
_01457_,9.58µm
_01702_,9.58µm
_02473_,9.58µm
_02520_,9.58µm
_03043_,9.58µm
_03153_,9.58µm
_03693_,9.58µm
_03980_,9.58µm
_04208_,9.58µm
_04387_,9.58µm
net1510,9.58µm
_05337_,9.57µm
_01339_,9.56µm
_01453_,9.56µm
_03735_,9.56µm
u_interface.u_gelu_fp32.u_synth_top.s3_mult\[22\],9.56µm
_02481_,9.54µm
_04550_,9.54µm
_04579_,9.54µm
_05634_,9.54µm
_00096_,9.525µm
_03779_,9.52µm
_05110_,9.52µm
_05919_,9.52µm
u_interface.u_gelu_fp32.s2_data\[16\],9.52µm
u_interface.u_gelu_fp32.u_synth_top.s3_b\[2\],9.52µm
_04664_,9.51µm
_02197_,9.5µm
_02858_,9.5µm
_03299_,9.5µm
_03394_,9.5µm
_03552_,9.5µm
_03933_,9.5µm
_04056_,9.5µm
_05034_,9.5µm
_05785_,9.5µm
u_interface.fifo_data\[4\]\[21\],9.5µm
u_interface.u_gelu_fp32.s2_data\[17\],9.5µm
u_interface.fifo_data\[10\]\[18\],9.49µm
_00055_,9.485µm
u_interface.fifo_data\[14\]\[15\],9.485µm
_00905_,9.48µm
_01323_,9.48µm
_01778_,9.48µm
_02763_,9.48µm
_03713_,9.48µm
_03894_,9.48µm
_03913_,9.48µm
_04303_,9.48µm
_05751_,9.48µm
_05887_,9.48µm
_06101_,9.48µm
_06219_,9.48µm
_06230_,9.48µm
_06406_,9.48µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s2_is_zero,9.48µm
net1687,9.47µm
net891,9.465µm
_03055_,9.46µm
_03117_,9.46µm
_04210_,9.46µm
_04543_,9.46µm
_04665_,9.46µm
u_interface.fifo_data\[9\]\[25\],9.46µm
_00901_,9.44µm
_01151_,9.44µm
_05221_,9.44µm
net1039,9.44µm
_01354_,9.42µm
_03770_,9.42µm
_05772_,9.42µm
_05892_,9.42µm
_06014_,9.42µm
_00199_,9.415µm
_04867_,9.41µm
_04930_,9.41µm
_00429_,9.405µm
_00645_,9.405µm
_02782_,9.4µm
_05419_,9.4µm
_05545_,9.4µm
_05912_,9.4µm
_05979_,9.4µm
s_axil_arready,9.4µm
u_interface.fifo_data\[8\]\[5\],9.4µm
net21,9.4µm
net1063,9.4µm
_03562_,9.39µm
_01592_,9.38µm
_02462_,9.38µm
_02550_,9.38µm
_03273_,9.38µm
_03426_,9.38µm
_04018_,9.38µm
_04399_,9.38µm
_05202_,9.38µm
_05520_,9.38µm
_05825_,9.38µm
_05917_,9.38µm
_02807_,9.37µm
s_axis_tdata[26],9.37µm
_00115_,9.365µm
_00601_,9.365µm
_01126_,9.36µm
_01133_,9.36µm
_01325_,9.36µm
_02678_,9.36µm
_02787_,9.36µm
_03114_,9.36µm
_03263_,9.36µm
_04383_,9.36µm
_05017_,9.36µm
_05368_,9.36µm
_05421_,9.36µm
_05499_,9.36µm
_05956_,9.36µm
_06376_,9.36µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s1_mant\[11\],9.36µm
net932,9.36µm
_03780_,9.355µm
_01855_,9.34µm
_05083_,9.34µm
_05097_,9.34µm
u_interface.fifo_data\[3\]\[20\],9.34µm
_02618_,9.32µm
_02809_,9.32µm
_03754_,9.32µm
_04490_,9.32µm
_05227_,9.32µm
_06312_,9.32µm
net1164,9.32µm
_01425_,9.3µm
_04721_,9.3µm
net1292,9.3µm
net1298,9.3µm
_02478_,9.28µm
_02716_,9.28µm
_03024_,9.28µm
_03233_,9.28µm
_03349_,9.28µm
_04028_,9.28µm
_05010_,9.28µm
_05349_,9.28µm
_06040_,9.28µm
_06087_,9.28µm
_06089_,9.28µm
u_interface.fifo_data\[8\]\[11\],9.28µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s1_mant\[13\],9.28µm
_04483_,9.27µm
_00036_,9.26µm
_01160_,9.26µm
_01162_,9.26µm
_02585_,9.26µm
_02769_,9.26µm
_02960_,9.26µm
_03438_,9.26µm
_03583_,9.26µm
_03987_,9.26µm
_04726_,9.26µm
_05073_,9.26µm
_05885_,9.26µm
net1077,9.26µm
_00104_,9.245µm
_00618_,9.245µm
_02588_,9.24µm
_03331_,9.24µm
_03731_,9.24µm
_03988_,9.24µm
_04162_,9.24µm
_04247_,9.24µm
_04690_,9.24µm
_04953_,9.24µm
_06248_,9.24µm
u_interface.fifo_data\[11\]\[15\],9.24µm
u_interface.fifo_data\[1\]\[4\],9.24µm
u_interface.fifo_data\[4\]\[17\],9.24µm
u_interface.fifo_data\[4\]\[18\],9.24µm
u_interface.fifo_data\[4\]\[5\],9.24µm
u_interface.fifo_data\[8\]\[15\],9.24µm
u_interface.fifo_data\[9\]\[16\],9.24µm
u_interface.fifo_rd_ptr\[3\],9.24µm
_00512_,9.22µm
_01850_,9.22µm
_03592_,9.22µm
_03786_,9.22µm
_03893_,9.22µm
net1059,9.22µm
net1142,9.22µm
net1387,9.22µm
net1656,9.22µm
_00170_,9.205µm
_00715_,9.205µm
_05098_,9.2µm
_05272_,9.2µm
_06337_,9.2µm
u_interface.fifo_data\[12\]\[3\],9.2µm
u_interface.fifo_data\[8\]\[30\],9.2µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_norm_mag\[4\],9.2µm
net1487,9.2µm
net1504,9.2µm
_02936_,9.19µm
_00102_,9.185µm
_00277_,9.185µm
_00373_,9.185µm
_00569_,9.185µm
_05790_,9.18µm
_00566_,9.175µm
_00746_,9.175µm
_03306_,9.16µm
_03778_,9.16µm
_03790_,9.16µm
_04284_,9.16µm
_04313_,9.16µm
_04567_,9.16µm
_04625_,9.16µm
_04937_,9.16µm
_05369_,9.16µm
_05467_,9.16µm
_05909_,9.16µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s1_mant\[20\],9.16µm
m_axis_tdata[4],9.15µm
_01761_,9.14µm
_02281_,9.14µm
_03598_,9.14µm
_04480_,9.14µm
_05418_,9.14µm
_00471_,9.125µm
_01119_,9.12µm
_02682_,9.12µm
_03193_,9.12µm
_03618_,9.12µm
_03901_,9.12µm
_04144_,9.12µm
_04486_,9.12µm
_05463_,9.12µm
u_interface.fifo_data\[13\]\[10\],9.12µm
u_interface.fifo_data\[7\]\[4\],9.12µm
u_interface.fifo_data\[9\]\[11\],9.12µm
u_interface.fifo_data\[9\]\[21\],9.12µm
u_interface.fifo_tuser\[5\],9.12µm
u_interface.u_gelu_fp32.u_synth_top.s3_mult\[52\],9.12µm
_02671_,9.115µm
_02228_,9.1µm
_02519_,9.1µm
_03432_,9.1µm
_05258_,9.1µm
net1020,9.1µm
net1424,9.1µm
_05923_,9.085µm
_05703_,9.08µm
u_interface.fifo_data\[15\]\[10\],9.08µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_exp\[7\],9.08µm
net1706,9.08µm
_00662_,9.075µm
_00111_,9.065µm
_02611_,9.06µm
_03223_,9.06µm
_04003_,9.06µm
_04858_,9.06µm
u_interface.u_gelu_fp32.s1_data\[11\],9.06µm
_03051_,9.05µm
u_interface.fifo_data\[10\]\[16\],9.05µm
_00511_,9.045µm
_02686_,9.04µm
_02699_,9.04µm
_02838_,9.04µm
_03176_,9.04µm
_03656_,9.04µm
_03721_,9.04µm
_04026_,9.04µm
_04030_,9.04µm
_04089_,9.04µm
_04098_,9.04µm
_04171_,9.04µm
_04215_,9.04µm
_04305_,9.04µm
_04560_,9.04µm
_05324_,9.04µm
_05367_,9.04µm
u_interface.fifo_tlast\[8\],9.04µm
u_interface.u_gelu_fp32.u_synth_top.s3_mult\[27\],9.04µm
net947,9.04µm
s_axis_tdata[24],9.03µm
_00936_,9.02µm
_01494_,9.02µm
_01578_,9.02µm
_01848_,9.02µm
_02122_,9.02µm
_03293_,9.02µm
_04135_,9.02µm
_05169_,9.02µm
u_interface.fifo_data\[13\]\[11\],9.02µm
u_interface.fifo_data\[4\]\[7\],9.02µm
u_interface.fifo_data\[8\]\[12\],9.02µm
_03718_,9.015µm
_02669_,9.01µm
_01791_,9µm
_03048_,9µm
_03924_,9µm
_04268_,9µm
_06345_,8.995µm
_02360_,8.98µm
_03632_,8.98µm
_05484_,8.98µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_exp\[1\],8.98µm
u_interface.u_gelu_fp32.u_synth_top.s3_mult\[57\],8.98µm
net1355,8.98µm
_02077_,8.96µm
_04452_,8.96µm
_05018_,8.96µm
_06373_,8.96µm
_00160_,8.945µm
_00727_,8.945µm
_01415_,8.94µm
_02245_,8.94µm
_02330_,8.94µm
_02652_,8.94µm
_04245_,8.94µm
_04280_,8.94µm
_04851_,8.94µm
_05359_,8.94µm
_06103_,8.94µm
net1670,8.94µm
_03836_,8.93µm
_00309_,8.925µm
_01430_,8.92µm
_01461_,8.92µm
_03270_,8.92µm
_04389_,8.92µm
_04620_,8.92µm
_05332_,8.92µm
_05471_,8.92µm
_05869_,8.92µm
_06167_,8.92µm
_00246_,8.905µm
_00249_,8.905µm
_00385_,8.905µm
_00390_,8.905µm
_01141_,8.9µm
_01678_,8.9µm
_02073_,8.9µm
_02294_,8.9µm
_02770_,8.9µm
_02844_,8.9µm
_03542_,8.9µm
_04241_,8.9µm
_04548_,8.9µm
_06256_,8.9µm
_06430_,8.9µm
net1746,8.9µm
u_interface.fifo_data\[14\]\[1\],8.89µm
_03507_,8.88µm
_04807_,8.88µm
_00540_,8.865µm
_03262_,8.86µm
_03291_,8.86µm
_04373_,8.86µm
_04910_,8.86µm
_06377_,8.86µm
u_interface.u_gelu_fp32.u_synth_top.s1_x\[25\],8.86µm
net982,8.86µm
net1221,8.86µm
net1253,8.86µm
net1543,8.86µm
_00854_,8.84µm
_00867_,8.84µm
_02608_,8.84µm
_04639_,8.84µm
_05630_,8.84µm
net17,8.84µm
net1544,8.84µm
_02651_,8.82µm
_02847_,8.82µm
_03206_,8.82µm
_03295_,8.82µm
_05013_,8.82µm
_06445_,8.82µm
net1291,8.82µm
_04623_,8.805µm
_02335_,8.8µm
_02448_,8.8µm
_02537_,8.8µm
_02566_,8.8µm
_03021_,8.8µm
_03699_,8.8µm
_03812_,8.8µm
_03875_,8.8µm
_04244_,8.8µm
_04465_,8.8µm
_06119_,8.8µm
net97,8.8µm
_01016_,8.78µm
_01669_,8.78µm
_02535_,8.78µm
_02590_,8.78µm
_02874_,8.78µm
_02951_,8.78µm
_03251_,8.78µm
_03384_,8.78µm
_03773_,8.78µm
_03990_,8.78µm
_04074_,8.78µm
_04283_,8.78µm
_05918_,8.78µm
_05983_,8.78µm
_06489_,8.78µm
u_interface.fifo_data\[11\]\[0\],8.78µm
u_interface.fifo_data\[15\]\[9\],8.78µm
u_interface.fifo_data\[1\]\[20\],8.78µm
u_interface.fifo_tuser\[9\],8.78µm
u_interface.u_gelu_fp32.s2_data\[3\],8.78µm
net1461,8.78µm
net1646,8.78µm
net1674,8.765µm
_00206_,8.76µm
_03982_,8.76µm
net1161,8.76µm
m_axis_tdata[0],8.75µm
m_axis_tdata[15],8.75µm
m_axis_tdata[30],8.75µm
_03957_,8.745µm
_03501_,8.74µm
_04746_,8.74µm
_04985_,8.74µm
_05178_,8.74µm
_05370_,8.74µm
_05445_,8.74µm
_05763_,8.74µm
net1074,8.74µm
net1254,8.74µm
net1388,8.74µm
_02297_,8.73µm
_04096_,8.73µm
_00208_,8.725µm
_00547_,8.725µm
_00607_,8.725µm
_00692_,8.725µm
_01097_,8.725µm
_01262_,8.72µm
_04190_,8.72µm
net832,8.72µm
net843,8.72µm
net849,8.72µm
net853,8.72µm
net856,8.72µm
net858,8.72µm
net861,8.72µm
net865,8.72µm
_04023_,8.715µm
_02164_,8.7µm
_02491_,8.7µm
_02981_,8.7µm
_03622_,8.7µm
_04809_,8.7µm
_05109_,8.7µm
_05111_,8.7µm
_05405_,8.7µm
_06110_,8.7µm
u_interface.fifo_data\[3\]\[18\],8.7µm
u_interface.fifo_data\[7\]\[15\],8.7µm
u_interface.fifo_data\[7\]\[30\],8.7µm
